benchmark/imdb/01a.benchmark,1,0.032664
benchmark/imdb/01a.benchmark,2,0.033052
benchmark/imdb/01a.benchmark,3,0.03246
benchmark/imdb/01a.benchmark,4,0.032396
benchmark/imdb/01a.benchmark,5,0.032369
benchmark/imdb/01a.benchmark,6,0.033262
benchmark/imdb/01a.benchmark,7,0.032374
benchmark/imdb/01a.benchmark,8,0.032377
benchmark/imdb/01a.benchmark,9,0.03238
benchmark/imdb/01a.benchmark,10,0.032436
benchmark/imdb/01a.benchmark,11,0.032637
benchmark/imdb/01a.benchmark,12,0.03237
benchmark/imdb/01a.benchmark,13,0.032489
benchmark/imdb/01a.benchmark,14,0.03247
benchmark/imdb/01a.benchmark,15,0.032338
benchmark/imdb/01a.benchmark,16,0.032486
benchmark/imdb/01a.benchmark,17,0.032444
benchmark/imdb/01a.benchmark,18,0.033074
benchmark/imdb/01a.benchmark,19,0.032475
benchmark/imdb/01a.benchmark,20,0.03272
benchmark/imdb/01b.benchmark,1,0.027185
benchmark/imdb/01b.benchmark,2,0.027311
benchmark/imdb/01b.benchmark,3,0.027666
benchmark/imdb/01b.benchmark,4,0.027765
benchmark/imdb/01b.benchmark,5,0.027136
benchmark/imdb/01b.benchmark,6,0.026936
benchmark/imdb/01b.benchmark,7,0.027167
benchmark/imdb/01b.benchmark,8,0.027322
benchmark/imdb/01b.benchmark,9,0.027082
benchmark/imdb/01b.benchmark,10,0.026975
benchmark/imdb/01b.benchmark,11,0.027025
benchmark/imdb/01b.benchmark,12,0.026553
benchmark/imdb/01b.benchmark,13,0.027214
benchmark/imdb/01b.benchmark,14,0.026746
benchmark/imdb/01b.benchmark,15,0.02706
benchmark/imdb/01b.benchmark,16,0.026866
benchmark/imdb/01b.benchmark,17,0.027053
benchmark/imdb/01b.benchmark,18,0.027022
benchmark/imdb/01b.benchmark,19,0.026992
benchmark/imdb/01b.benchmark,20,0.027896
benchmark/imdb/01c.benchmark,1,0.026836
benchmark/imdb/01c.benchmark,2,0.027115
benchmark/imdb/01c.benchmark,3,0.026722
benchmark/imdb/01c.benchmark,4,0.027026
benchmark/imdb/01c.benchmark,5,0.026804
benchmark/imdb/01c.benchmark,6,0.026896
benchmark/imdb/01c.benchmark,7,0.027008
benchmark/imdb/01c.benchmark,8,0.027266
benchmark/imdb/01c.benchmark,9,0.026953
benchmark/imdb/01c.benchmark,10,0.027336
benchmark/imdb/01c.benchmark,11,0.027665
benchmark/imdb/01c.benchmark,12,0.027482
benchmark/imdb/01c.benchmark,13,0.027522
benchmark/imdb/01c.benchmark,14,0.027145
benchmark/imdb/01c.benchmark,15,0.02682
benchmark/imdb/01c.benchmark,16,0.027198
benchmark/imdb/01c.benchmark,17,0.026998
benchmark/imdb/01c.benchmark,18,0.027186
benchmark/imdb/01c.benchmark,19,0.027054
benchmark/imdb/01c.benchmark,20,0.027929
benchmark/imdb/01d.benchmark,1,0.026152
benchmark/imdb/01d.benchmark,2,0.026801
benchmark/imdb/01d.benchmark,3,0.02603
benchmark/imdb/01d.benchmark,4,0.025866
benchmark/imdb/01d.benchmark,5,0.025899
benchmark/imdb/01d.benchmark,6,0.026079
benchmark/imdb/01d.benchmark,7,0.025906
benchmark/imdb/01d.benchmark,8,0.026792
benchmark/imdb/01d.benchmark,9,0.026304
benchmark/imdb/01d.benchmark,10,0.025971
benchmark/imdb/01d.benchmark,11,0.026147
benchmark/imdb/01d.benchmark,12,0.025767
benchmark/imdb/01d.benchmark,13,0.026145
benchmark/imdb/01d.benchmark,14,0.025833
benchmark/imdb/01d.benchmark,15,0.025964
benchmark/imdb/01d.benchmark,16,0.026641
benchmark/imdb/01d.benchmark,17,0.026029
benchmark/imdb/01d.benchmark,18,0.02638
benchmark/imdb/01d.benchmark,19,0.026056
